{'test': 0, 'deepcegar': 0.017, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 72, 'deepcegar': 0.014, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 73, 'deepcegar': 0.012, 'deepzono': 0.012, 'deepinput': 0.012}
{'test': 74, 'deepcegar': 0.014, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 75, 'deepcegar': 0.02, 'deepzono': 0.02, 'deepinput': 0.02}
{'test': 76, 'deepcegar': 0.024, 'deepzono': 0.023, 'deepinput': 0.023}
{'test': 77, 'deepcegar': 0.017, 'deepzono': 0.016, 'deepinput': 0.017}
{'test': 78, 'deepcegar': 0.013, 'deepzono': 0.013, 'deepinput': 0.013}
{'test': 79, 'deepcegar': 0.02, 'deepzono': 0.02, 'deepinput': 0.02}
{'test': 80, 'deepcegar': 0.009, 'deepzono': 0.008, 'deepinput': 0.008}
{'test': 81, 'deepcegar': 0.018, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 82, 'deepcegar': 0.026, 'deepzono': 0.026, 'deepinput': 0.026}
{'test': 83, 'deepcegar': 0.016, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 84, 'deepcegar': 0.015, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 85, 'deepcegar': 0.026, 'deepzono': 0.026, 'deepinput': 0.026}
{'test': 86, 'deepcegar': 0.02, 'deepzono': 0.019, 'deepinput': 0.019}
{'test': 87, 'deepcegar': 0.014, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 88, 'deepcegar': 0.03, 'deepzono': 0.03, 'deepinput': 0.03}
{'test': 89, 'deepcegar': 0.015, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 90, 'deepcegar': 0.023, 'deepzono': 0.023, 'deepinput': 0.023}
{'test': 91, 'deepcegar': 0.018, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 92, 'deepcegar': 0.002, 'deepzono': 0.002, 'deepinput': 0.002}
{'test': 93, 'deepcegar': 0.02, 'deepzono': 0.02, 'deepinput': 0.02}
{'test': 94, 'deepcegar': 0.019, 'deepzono': 0.018, 'deepinput': 0.019}
{'test': 95, 'deepcegar': 0.018, 'deepzono': 0.017, 'deepinput': 0.018}
{'test': 96, 'deepcegar': 0.007, 'deepzono': 0.007, 'deepinput': 0.007}
{'test': 97, 'deepcegar': 0.021, 'deepzono': 0.021, 'deepinput': 0.021}
{'test': 98, 'deepcegar': 0.017, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 99, 'deepcegar': 0.022, 'deepzono': 0.022, 'deepinput': 0.022}
