{'test': 71, 'deepcegar': 0.038, 'deepzono': 0.035, 'deepinput': 0.036}
{'test': 72, 'deepcegar': 0.019, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 73, 'deepcegar': 0.01, 'deepzono': 0.009, 'deepinput': 0.009}
{'test': 74, 'deepcegar': 0.012, 'deepzono': 0.011, 'deepinput': 0.011}
{'test': 75, 'deepcegar': 0.023, 'deepzono': 0.022, 'deepinput': 0.022}
{'test': 76, 'deepcegar': 0.02, 'deepzono': 0.02, 'deepinput': 0.02}
{'test': 77, 'deepcegar': 0.016, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 78, 'deepcegar': 0.01, 'deepzono': 0.009, 'deepinput': 0.009}
{'test': 79, 'deepcegar': 0.015, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 80, 'deepcegar': 0.014, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 81, 'deepcegar': 0.017, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 82, 'deepcegar': 0.029, 'deepzono': 0.028, 'deepinput': 0.028}
{'test': 83, 'deepcegar': 0.013, 'deepzono': 0.013, 'deepinput': 0.013}
{'test': 84, 'deepcegar': 0.012, 'deepzono': 0.012, 'deepinput': 0.012}
{'test': 85, 'deepcegar': 0.032, 'deepzono': 0.032, 'deepinput': 0.032}
{'test': 86, 'deepcegar': 0.021, 'deepzono': 0.021, 'deepinput': 0.021}
{'test': 87, 'deepcegar': 0.021, 'deepzono': 0.02, 'deepinput': 0.02}
{'test': 88, 'deepcegar': 0.03, 'deepzono': 0.029, 'deepinput': 0.029}
{'test': 89, 'deepcegar': 0.01, 'deepzono': 0.01, 'deepinput': 0.01}
{'test': 90, 'deepcegar': 0.019, 'deepzono': 0.018, 'deepinput': 0.019}
{'test': 91, 'deepcegar': 0.021, 'deepzono': 0.02, 'deepinput': 0.02}
{'test': 92, 'deepcegar': 0.003, 'deepzono': 0.003, 'deepinput': 0.003}
{'test': 93, 'deepcegar': 0.026, 'deepzono': 0.024, 'deepinput': 0.024}
{'test': 94, 'deepcegar': 0.017, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 95, 'deepcegar': 0.021, 'deepzono': 0.021, 'deepinput': 0.021}
{'test': 96, 'deepcegar': 0.008, 'deepzono': 0.008, 'deepinput': 0.008}
{'test': 97, 'deepcegar': 0.021, 'deepzono': 0.021, 'deepinput': 0.021}
{'test': 98, 'deepcegar': 0.016, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 99, 'deepcegar': 0.022, 'deepzono': 0.022, 'deepinput': 0.022}
