3,10,18,77,1,76
3,20,9,72,0,72
3,30,15,72,0,63
3,40,11,60,1,53
3,50,10,52,2,45
3,60,8,40,1,34
3,70,10,31,4,26
3,80,7,38,0,31
3,90,10,28,0,18
4,50,10,40,0,30
5,50,17,48,3,36
5,100,17,22,4,9
6,10,7,52,2,52
6,20,1,73,0,72
6,100,10,30,2,22
6,200,10,11,5,6
