# model:../../TestNets/pldi/mnist_relu_5_60.tf
# start time:2020-09-03 13:48:52
# end time:2020-09-03 15:31:03
{'test': 0, 'deepzono': 0.015, 'deepcegar': 0.016}
{'test': 1, 'deepzono': 0.015, 'deepcegar': 0.016}
{'test': 2, 'deepzono': 0.006, 'deepcegar': 0.006}
{'test': 3, 'deepzono': 0.019, 'deepcegar': 0.02}
{'test': 4, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 5, 'deepzono': 0.005, 'deepcegar': 0.005}
{'test': 6, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 7, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 8, 'deepzono': 0.004, 'deepcegar': 0.005}
{'test': 9, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 10, 'deepzono': 0.018, 'deepcegar': 0.019}
{'test': 11, 'deepzono': 0.015, 'deepcegar': 0.016}
{'test': 12, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 13, 'deepzono': 0.019, 'deepcegar': 0.019}
{'test': 14, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 15, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 16, 'deepzono': 0.01, 'deepcegar': 0.011}
{'test': 17, 'deepzono': 0.019, 'deepcegar': 0.02}
{'test': 18, 'deepzono': 0.009, 'deepcegar': 0.01}
{'test': 19, 'deepzono': 0.013, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_5_60.tf
# start time:2020-09-08 07:40:56
# end time:2020-09-08 07:43:47
{'test': 20, 'deepzono': 0.0, 'deepcegar': 0.0}
{'test': 21, 'deepzono': 0.012, 'deepcegar': 0.012}
# model:../../TestNets/pldi/mnist_relu_5_60.tf
# start time:2020-09-08 09:20:40
# end time:2020-09-08 09:27:21
{'test': 22, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 23, 'deepzono': 0.021, 'deepcegar': 0.021}
# model:../../TestNets/pldi/mnist_relu_5_60.tf
# start time:2020-09-08 07:40:56
# end time:2020-09-08 07:48:25
{'test': 24, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 25, 'deepzono': 0.03, 'deepcegar': 0.031}
# model:../../TestNets/pldi/mnist_relu_5_60.tf
# start time:2020-09-07 23:27:24
# end time:2020-09-07 23:42:12
{'test': 26, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 27, 'deepzono': 0.019, 'deepcegar': 0.019}
{'test': 28, 'deepzono': 0.026, 'deepcegar': 0.026}
# model:../../TestNets/pldi/mnist_relu_5_60.tf
# start time:2020-09-07 23:27:24
# end time:2020-09-07 23:47:23
{'test': 29, 'deepzono': 0.006, 'deepcegar': 0.006}
{'test': 30, 'deepzono': 0.019, 'deepcegar': 0.02}
{'test': 31, 'deepzono': 0.005, 'deepcegar': 0.006}
# model:../../TestNets/pldi/mnist_relu_5_60.tf
# start time:2020-09-08 07:41:24
# end time:2020-09-08 07:51:21
{'test': 32, 'deepzono': 0.02, 'deepcegar': 0.021}
{'test': 33, 'deepzono': 0.007, 'deepcegar': 0.008}
# model:../../TestNets/pldi/mnist_relu_5_60.tf
# start time:2020-09-08 07:41:24
# end time:2020-09-08 07:48:52
{'test': 34, 'deepzono': 0.017, 'deepcegar': 0.018}
{'test': 35, 'deepzono': 0.019, 'deepcegar': 0.019}
# model:../../TestNets/pldi/mnist_relu_5_60.tf
# start time:2020-09-08 08:24:01
# end time:2020-09-08 08:51:23
{'test': 36, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 37, 'deepzono': 0.007, 'deepcegar': 0.008}
# model:../../TestNets/pldi/mnist_relu_5_60.tf
# start time:2020-09-07 23:27:24
# end time:2020-09-07 23:42:22
{'test': 38, 'deepzono': 0.004, 'deepcegar': 0.004}
{'test': 39, 'deepzono': 0.007, 'deepcegar': 0.007}
{'test': 40, 'deepzono': 0.006, 'deepcegar': 0.006}
# model:../../TestNets/pldi/mnist_relu_5_60.tf
# start time:2020-09-07 23:27:24
# end time:2020-09-07 23:41:51
{'test': 41, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 42, 'deepzono': 0.019, 'deepcegar': 0.019}
{'test': 43, 'deepzono': 0.002, 'deepcegar': 0.002}
# model:../../TestNets/pldi/mnist_relu_5_60.tf
# start time:2020-09-08 08:00:20
# end time:2020-09-08 08:05:13
{'test': 44, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 45, 'deepzono': 0.014, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_5_60.tf
# start time:2020-09-08 08:00:20
# end time:2020-09-08 08:05:12
{'test': 46, 'deepzono': 0.007, 'deepcegar': 0.007}
{'test': 47, 'deepzono': 0.018, 'deepcegar': 0.018}
# model:../../TestNets/pldi/mnist_relu_5_60.tf
# start time:2020-09-08 08:00:20
