# model:../../TestNets/pldi/mnist_relu_4_70.tf
# start time:2020-09-03 10:20:17
# end time:2020-09-03 12:01:20
{'test': 0, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 1, 'deepzono': 0.017, 'deepcegar': 0.018}
{'test': 2, 'deepzono': 0.007, 'deepcegar': 0.007}
{'test': 3, 'deepzono': 0.016, 'deepcegar': 0.017}
{'test': 4, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 5, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 6, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 7, 'deepzono': 0.008, 'deepcegar': 0.008}
{'test': 8, 'deepzono': 0.0, 'deepcegar': 0.0}
{'test': 9, 'deepzono': 0.013, 'deepcegar': 0.015}
{'test': 10, 'deepzono': 0.02, 'deepcegar': 0.021}
{'test': 11, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 12, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 13, 'deepzono': 0.02, 'deepcegar': 0.02}
{'test': 14, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 15, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 16, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 17, 'deepzono': 0.019, 'deepcegar': 0.02}
{'test': 18, 'deepzono': 0.0, 'deepcegar': 0.0}
{'test': 19, 'deepzono': 0.013, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_4_70.tf
# start time:2020-09-08 08:27:22
# end time:2020-09-08 08:46:13
{'test': 20, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 21, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 22, 'deepzono': 0.019, 'deepcegar': 0.019}
# model:../../TestNets/pldi/mnist_relu_4_70.tf
# start time:2020-09-08 13:18:09
# end time:2020-09-08 13:29:44
{'test': 23, 'deepzono': 0.017, 'deepcegar': 0.018}
{'test': 24, 'deepzono': 0.009, 'deepcegar': 0.01}
{'test': 25, 'deepzono': 0.024, 'deepcegar': 0.025}
