# model:../../TestNets/pldi/mnist_relu_6_90.tf
# start time:2020-09-09 11:21:46
# end time:2020-09-09 11:28:43
{'test': 0, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 1, 'deepzono': 0.015, 'deepcegar': 0.015}
# model:../../TestNets/pldi/mnist_relu_6_90.tf
# start time:2020-09-09 11:21:46
# end time:2020-09-09 11:28:26
{'test': 2, 'deepzono': 0.006, 'deepcegar': 0.006}
{'test': 3, 'deepzono': 0.019, 'deepcegar': 0.019}
# model:../../TestNets/pldi/mnist_relu_6_90.tf
# start time:2020-09-09 12:37:59
# end time:2020-09-09 12:46:39
{'test': 4, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 5, 'deepzono': 0.01, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_6_90.tf
# start time:2020-09-09 12:37:59
# end time:2020-09-09 12:46:15
{'test': 6, 'deepzono': 0.007, 'deepcegar': 0.008}
{'test': 7, 'deepzono': 0.003, 'deepcegar': 0.003}
# model:../../TestNets/pldi/mnist_relu_6_90.tf
# start time:2020-09-09 12:37:59
# end time:2020-09-09 12:45:39
{'test': 8, 'deepzono': 0.006, 'deepcegar': 0.007}
{'test': 9, 'deepzono': 0.014, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_6_90.tf
# start time:2020-09-09 08:59:25
# end time:2020-09-09 09:17:51
{'test': 10, 'deepzono': 0.019, 'deepcegar': 0.019}
{'test': 11, 'deepzono': 0.021, 'deepcegar': 0.021}
{'test': 12, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 13, 'deepzono': 0.026, 'deepcegar': 0.027}
{'test': 14, 'deepzono': 0.015, 'deepcegar': 0.015}
# model:../../TestNets/pldi/mnist_relu_6_90.tf
# start time:2020-09-09 13:19:01
# end time:2020-09-09 13:37:29
{'test': 15, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 16, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 17, 'deepzono': 0.016, 'deepcegar': 0.017}
{'test': 18, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 19, 'deepzono': 0.014, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_6_90.tf
# start time:2020-09-09 08:59:25
# end time:2020-09-09 09:19:14
{'test': 20, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 21, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 22, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 23, 'deepzono': 0.017, 'deepcegar': 0.018}
{'test': 24, 'deepzono': 0.008, 'deepcegar': 0.008}
# model:../../TestNets/pldi/mnist_relu_6_90.tf
# start time:2020-09-09 20:09:23
# end time:2020-09-09 20:16:39
{'test': 25, 'deepzono': 0.027, 'deepcegar': 0.029}
{'test': 26, 'deepzono': 0.013, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_6_90.tf
# start time:2020-09-09 18:47:13
# end time:2020-09-09 18:54:15
{'test': 27, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 28, 'deepzono': 0.026, 'deepcegar': 0.027}
