# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-08 21:56:26
# end time:2020-09-08 22:18:00
{'test': 0, 'deepzono': 0.015, 'deepcegar': 0.016}
{'test': 1, 'deepzono': 0.022, 'deepcegar': 0.023}
{'test': 2, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 3, 'deepzono': 0.021, 'deepcegar': 0.021}
{'test': 4, 'deepzono': 0.015, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 11:23:00
# end time:2020-09-09 11:34:26
{'test': 5, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 6, 'deepzono': 0.011, 'deepcegar': 0.012}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 11:23:00
# end time:2020-09-09 11:34:01
{'test': 7, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 8, 'deepzono': 0.012, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 17:34:57
# end time:2020-09-09 17:42:52
{'test': 9, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 10, 'deepzono': 0.026, 'deepcegar': 0.027}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 11:23:00
# end time:2020-09-09 11:30:23
{'test': 11, 'deepzono': 0.022, 'deepcegar': 0.022}
{'test': 12, 'deepzono': 0.015, 'deepcegar': 0.015}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 17:01:39
# end time:2020-09-09 17:09:36
{'test': 13, 'deepzono': 0.026, 'deepcegar': 0.027}
{'test': 14, 'deepzono': 0.015, 'deepcegar': 0.015}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 11:23:00
# end time:2020-09-09 11:30:12
{'test': 15, 'deepzono': 0.018, 'deepcegar': 0.018}
{'test': 16, 'deepzono': 0.008, 'deepcegar': 0.008}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 15:45:30
# end time:2020-09-09 15:59:13
{'test': 17, 'deepzono': 0.018, 'deepcegar': 0.019}
{'test': 18, 'deepzono': 0.004, 'deepcegar': 0.005}
{'test': 19, 'deepzono': 0.017, 'deepcegar': 0.018}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-08 21:56:26
# end time:2020-09-08 22:13:36
{'test': 20, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 21, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 22, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 23, 'deepzono': 0.019, 'deepcegar': 0.02}
{'test': 24, 'deepzono': 0.01, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 12:15:30
# end time:2020-09-09 12:25:15
{'test': 25, 'deepzono': 0.037, 'deepcegar': 0.037}
{'test': 26, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 27, 'deepzono': 0.021, 'deepcegar': 0.021}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 12:15:30
# end time:2020-09-09 12:27:48
{'test': 28, 'deepzono': 0.024, 'deepcegar': 0.024}
{'test': 29, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 30, 'deepzono': 0.018, 'deepcegar': 0.018}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 17:35:05
# end time:2020-09-09 17:46:40
{'test': 31, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 32, 'deepzono': 0.015, 'deepcegar': 0.016}
{'test': 33, 'deepzono': 0.017, 'deepcegar': 0.018}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 12:15:30
# end time:2020-09-09 12:30:33
{'test': 34, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 35, 'deepzono': 0.023, 'deepcegar': 0.024}
{'test': 36, 'deepzono': 0.015, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 12:15:30
# end time:2020-09-09 12:25:29
{'test': 37, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 38, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 39, 'deepzono': 0.014, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 17:35:12
# end time:2020-09-09 17:42:39
{'test': 40, 'deepzono': 0.008, 'deepcegar': 0.009}
{'test': 41, 'deepzono': 0.019, 'deepcegar': 0.019}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 13:06:42
# end time:2020-09-09 13:11:30
{'test': 42, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 43, 'deepzono': 0.01, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 13:06:42
# end time:2020-09-09 13:13:47
{'test': 44, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 45, 'deepzono': 0.014, 'deepcegar': 0.015}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 12:15:30
# end time:2020-09-09 12:27:27
{'test': 46, 'deepzono': 0.01, 'deepcegar': 0.011}
{'test': 47, 'deepzono': 0.019, 'deepcegar': 0.019}
{'test': 48, 'deepzono': 0.023, 'deepcegar': 0.023}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 15:45:46
# end time:2020-09-09 15:52:58
{'test': 49, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 50, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 51, 'deepzono': 0.016, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 15:45:50
# end time:2020-09-09 15:58:54
{'test': 52, 'deepzono': 0.015, 'deepcegar': 0.016}
{'test': 53, 'deepzono': 0.017, 'deepcegar': 0.018}
{'test': 54, 'deepzono': 0.021, 'deepcegar': 0.021}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 12:15:30
# end time:2020-09-09 12:25:24
{'test': 55, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 56, 'deepzono': 0.022, 'deepcegar': 0.022}
{'test': 57, 'deepzono': 0.013, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 14:31:11
# end time:2020-09-09 14:42:22
{'test': 58, 'deepzono': 0.018, 'deepcegar': 0.018}
{'test': 59, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 60, 'deepzono': 0.026, 'deepcegar': 0.027}
{'test': 61, 'deepzono': 0.008, 'deepcegar': 0.008}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
# start time:2020-09-09 12:40:24
# end time:2020-09-09 12:45:57
{'test': 62, 'deepzono': 0.008, 'deepcegar': 0.008}
{'test': 63, 'deepzono': 0.015, 'deepcegar': 0.015}
# model:../../TestNets/pldi/mnist_relu_4_90.tf
