# model:../../TestNets/pldi/mnist_relu_6_30.tf
# start time:2020-09-03 15:55:07
# end time:2020-09-03 17:32:20
{'test': 0, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 1, 'deepzono': 0.014, 'deepcegar': 0.015}
{'test': 2, 'deepzono': 0.008, 'deepcegar': 0.008}
{'test': 3, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 4, 'deepzono': 0.01, 'deepcegar': 0.011}
{'test': 5, 'deepzono': 0.011, 'deepcegar': 0.012}
{'test': 6, 'deepzono': 0.0, 'deepcegar': 0.0}
{'test': 7, 'deepzono': 0.009, 'deepcegar': 0.01}
{'test': 8, 'deepzono': 0.001, 'deepcegar': 0.001}
{'test': 9, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 10, 'deepzono': 0.014, 'deepcegar': 0.015}
{'test': 11, 'deepzono': 0.014, 'deepcegar': 0.015}
{'test': 12, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 13, 'deepzono': 0.013, 'deepcegar': 0.015}
{'test': 14, 'deepzono': 0.014, 'deepcegar': 0.015}
{'test': 15, 'deepzono': 0.014, 'deepcegar': 0.015}
{'test': 16, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 17, 'deepzono': 0.011, 'deepcegar': 0.013}
{'test': 18, 'deepzono': 0.0, 'deepcegar': 0.0}
{'test': 19, 'deepzono': 0.013, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_6_30.tf
# start time:2020-09-04 15:53:47
# end time:2020-09-04 17:47:57
{'test': 20, 'deepzono': 0.011, 'deepcegar': 0.012}
{'test': 21, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 22, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 23, 'deepzono': 0.02, 'deepcegar': 0.02}
{'test': 24, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 25, 'deepzono': 0.02, 'deepcegar': 0.021}
{'test': 26, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 27, 'deepzono': 0.019, 'deepcegar': 0.022}
{'test': 28, 'deepzono': 0.017, 'deepcegar': 0.018}
{'test': 29, 'deepzono': 0.007, 'deepcegar': 0.008}
{'test': 30, 'deepzono': 0.019, 'deepcegar': 0.02}
{'test': 31, 'deepzono': 0.007, 'deepcegar': 0.008}
{'test': 32, 'deepzono': 0.016, 'deepcegar': 0.017}
{'test': 33, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 34, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 35, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 36, 'deepzono': 0.01, 'deepcegar': 0.011}
{'test': 37, 'deepzono': 0.009, 'deepcegar': 0.01}
{'test': 38, 'deepzono': 0.0, 'deepcegar': 0.0}
{'test': 39, 'deepzono': 0.013, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_6_30.tf
# start time:2020-09-04 15:54:01
# end time:2020-09-04 17:55:57
{'test': 40, 'deepzono': 0.008, 'deepcegar': 0.008}
{'test': 41, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 42, 'deepzono': 0.011, 'deepcegar': 0.012}
{'test': 43, 'deepzono': 0.0, 'deepcegar': 0.0}
{'test': 44, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 45, 'deepzono': 0.014, 'deepcegar': 0.014}
