# model:../../TestNets/pldi/large/mnist_relu_4_150.tf
# start time:2020-09-09 23:50:27
# end time:2020-09-09 23:55:15
{'test': 0, 'deepzono': 0.019, 'deepcegar': 0.019}
{'test': 1, 'deepzono': 0.026, 'deepcegar': 0.026}
# model:../../TestNets/pldi/mnist_relu_4_150.tf
# start time:2020-09-10 08:52:17
# end time:2020-09-10 08:57:31
{'test': 2, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 3, 'deepzono': 0.02, 'deepcegar': 0.02}
# model:../../TestNets/pldi/large/mnist_relu_4_150.tf
# start time:2020-09-09 23:50:34
# end time:2020-09-09 23:55:31
{'test': 4, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 5, 'deepzono': 0.014, 'deepcegar': 0.014}
# model:../../TestNets/pldi/large/mnist_relu_4_150.tf
# start time:2020-09-09 23:05:51
# end time:2020-09-09 23:14:13
{'test': 6, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 7, 'deepzono': 0.012, 'deepcegar': 0.013}
# model:../../TestNets/pldi/large/mnist_relu_4_150.tf
# start time:2020-09-09 23:05:51
# end time:2020-09-09 23:18:40
{'test': 8, 'deepzono': 0.011, 'deepcegar': 0.012}
{'test': 9, 'deepzono': 0.019, 'deepcegar': 0.019}
# model:../../TestNets/pldi/large/mnist_relu_4_150.tf
# start time:2020-09-09 23:08:56
# end time:2020-09-09 23:26:34
{'test': 10, 'deepzono': 0.022, 'deepcegar': 0.023}
{'test': 11, 'deepzono': 0.017, 'deepcegar': 0.018}
# model:../../TestNets/pldi/large/mnist_relu_4_150.tf
# start time:2020-09-09 23:56:12
# end time:2020-09-10 00:04:49
{'test': 12, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 13, 'deepzono': 0.025, 'deepcegar': 0.026}
# model:../../TestNets/pldi/large/mnist_relu_4_150.tf
# start time:2020-09-09 23:08:56
# end time:2020-09-09 23:14:43
{'test': 14, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 15, 'deepzono': 0.014, 'deepcegar': 0.014}
# model:../../TestNets/pldi/large/mnist_relu_4_150.tf
# start time:2020-09-09 23:08:56
# end time:2020-09-09 23:17:07
{'test': 16, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 17, 'deepzono': 0.015, 'deepcegar': 0.016}
# model:../../TestNets/pldi/large/mnist_relu_4_150.tf
# start time:2020-09-09 23:08:56
# end time:2020-09-09 23:14:41
{'test': 18, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 19, 'deepzono': 0.015, 'deepcegar': 0.015}
# model:../../TestNets/pldi/mnist_relu_4_150.tf
# start time:2020-09-10 17:06:09
# end time:2020-09-10 17:12:57
{'test': 20, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 21, 'deepzono': 0.014, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_4_150.tf
# start time:2020-09-10 23:03:43
# end time:2020-09-10 23:10:37
{'test': 22, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 23, 'deepzono': 0.017, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_4_150.tf
# start time:2020-09-10 15:48:36
# end time:2020-09-10 15:58:23
{'test': 24, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 25, 'deepzono': 0.027, 'deepcegar': 0.028}
# model:../../TestNets/pldi/mnist_relu_4_150.tf
# start time:2020-09-10 17:52:43
# end time:2020-09-10 17:58:22
{'test': 26, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 27, 'deepzono': 0.02, 'deepcegar': 0.02}
# model:../../TestNets/pldi/mnist_relu_4_150.tf
# start time:2020-09-10 18:59:02
# end time:2020-09-10 19:04:24
{'test': 28, 'deepzono': 0.026, 'deepcegar': 0.026}
{'test': 29, 'deepzono': 0.009, 'deepcegar': 0.009}
# model:../../TestNets/pldi/mnist_relu_4_150.tf
# start time:2020-09-10 18:59:17
# end time:2020-09-10 19:07:15
{'test': 30, 'deepzono': 0.025, 'deepcegar': 0.026}
{'test': 31, 'deepzono': 0.008, 'deepcegar': 0.008}
# model:../../TestNets/pldi/mnist_relu_4_150.tf
# start time:2020-09-10 15:48:36
# end time:2020-09-10 15:55:14
{'test': 32, 'deepzono': 0.024, 'deepcegar': 0.024}
{'test': 33, 'deepzono': 0.008, 'deepcegar': 0.008}
# model:../../TestNets/pldi/mnist_relu_4_150.tf
# start time:2020-09-10 21:01:51
# end time:2020-09-10 21:09:43
{'test': 34, 'deepzono': 0.022, 'deepcegar': 0.022}
{'test': 35, 'deepzono': 0.025, 'deepcegar': 0.026}
# model:../../TestNets/pldi/mnist_relu_4_150.tf
# start time:2020-09-10 22:01:02
# end time:2020-09-10 22:11:32
{'test': 36, 'deepzono': 0.016, 'deepcegar': 0.017}
{'test': 37, 'deepzono': 0.012, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_4_150.tf
# start time:2020-09-10 15:48:36
# end time:2020-09-10 15:57:45
{'test': 38, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 39, 'deepzono': 0.016, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_4_150.tf
# start time:2020-09-11 09:15:02
# end time:2020-09-11 09:25:18
{'test': 40, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 41, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_4_150.tf
# start time:2020-09-11 12:05:04
# end time:2020-09-11 12:13:35
{'test': 42, 'deepzono': 0.017, 'deepcegar': 0.018}
{'test': 43, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_4_150.tf
# start time:2020-09-11 09:15:02
# end time:2020-09-11 09:24:03
{'test': 44, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 45, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_4_150.tf
# start time:2020-09-11 10:25:56
# end time:2020-09-11 10:32:42
{'test': 46, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 47, 'deepzono': 0.017, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_4_150.tf
# start time:2020-09-11 10:25:56
# end time:2020-09-11 10:32:37
{'test': 48, 'deepzono': 0.028, 'deepcegar': 0.028}
{'test': 49, 'deepzono': 0.017, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_4_150.tf
# start time:2020-09-11 09:15:02
# end time:2020-09-11 09:30:24
{'test': 50, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 51, 'deepzono': 0.028, 'deepcegar': 0.029}
# model:../../TestNets/pldi/mnist_relu_4_150.tf
# start time:2020-09-11 09:15:02
# end time:2020-09-11 09:24:38
{'test': 52, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 53, 'deepzono': 0.015, 'deepcegar': 0.015}
# model:../../TestNets/pldi/mnist_relu_4_150.tf
# start time:2020-09-11 10:25:56
# end time:2020-09-11 10:32:33
{'test': 54, 'deepzono': 0.023, 'deepcegar': 0.023}
