# model:../../TestNets/pldi/mnist_relu_6_80.tf
# start time:2020-09-08 23:18:48
# end time:2020-09-08 23:26:02
{'test': 0, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 1, 'deepzono': 0.018, 'deepcegar': 0.019}
# model:../../TestNets/pldi/mnist_relu_6_80.tf
# start time:2020-09-08 23:18:48
# end time:2020-09-08 23:23:37
{'test': 2, 'deepzono': 0.008, 'deepcegar': 0.008}
{'test': 3, 'deepzono': 0.019, 'deepcegar': 0.019}
# model:../../TestNets/pldi/mnist_relu_6_80.tf
# start time:2020-09-08 23:18:48
# end time:2020-09-08 23:23:24
{'test': 4, 'deepzono': 0.007, 'deepcegar': 0.008}
# model:../../TestNets/pldi/mnist_relu_6_80.tf
# start time:2020-09-08 14:08:12
# end time:2020-09-08 14:27:27
{'test': 5, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 6, 'deepzono': 0.01, 'deepcegar': 0.011}
{'test': 7, 'deepzono': 0.007, 'deepcegar': 0.008}
{'test': 8, 'deepzono': 0.007, 'deepcegar': 0.007}
{'test': 9, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_6_80.tf
# start time:2020-09-08 14:08:12
# end time:2020-09-08 14:29:11
{'test': 10, 'deepzono': 0.025, 'deepcegar': 0.025}
{'test': 11, 'deepzono': 0.014, 'deepcegar': 0.015}
{'test': 12, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 13, 'deepzono': 0.025, 'deepcegar': 0.026}
{'test': 14, 'deepzono': 0.012, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_6_80.tf
# start time:2020-09-08 14:08:12
# end time:2020-09-08 14:22:54
{'test': 15, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 16, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 17, 'deepzono': 0.018, 'deepcegar': 0.019}
{'test': 18, 'deepzono': 0.0, 'deepcegar': 0.0}
{'test': 19, 'deepzono': 0.015, 'deepcegar': 0.015}
# model:../../TestNets/pldi/mnist_relu_6_80.tf
# start time:2020-09-08 14:08:12
# end time:2020-09-08 14:38:32
{'test': 20, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 21, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 22, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 23, 'deepzono': 0.018, 'deepcegar': 0.018}
{'test': 24, 'deepzono': 0.009, 'deepcegar': 0.009}
# model:../../TestNets/pldi/mnist_relu_6_80.tf
# start time:2020-09-08 14:43:19
# end time:2020-09-08 15:01:07
{'test': 25, 'deepzono': 0.03, 'deepcegar': 0.03}
{'test': 26, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 27, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 28, 'deepzono': 0.024, 'deepcegar': 0.024}
{'test': 29, 'deepzono': 0.01, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_6_80.tf
# start time:2020-09-08 21:55:49
# end time:2020-09-08 22:01:48
{'test': 30, 'deepzono': 0.019, 'deepcegar': 0.019}
{'test': 31, 'deepzono': 0.009, 'deepcegar': 0.009}
# model:../../TestNets/pldi/mnist_relu_6_80.tf
# start time:2020-09-09 07:24:22
# end time:2020-09-09 07:29:01
{'test': 32, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 33, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_6_80.tf
# start time:2020-09-08 23:19:15
# end time:2020-09-08 23:24:24
{'test': 34, 'deepzono': 0.014, 'deepcegar': 0.015}
# model:../../TestNets/pldi/mnist_relu_6_80.tf
# start time:2020-09-08 14:43:19
# end time:2020-09-08 15:03:30
{'test': 35, 'deepzono': 0.021, 'deepcegar': 0.021}
{'test': 36, 'deepzono': 0.01, 'deepcegar': 0.011}
{'test': 37, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 38, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 39, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_6_80.tf
# start time:2020-09-08 14:43:20
# end time:2020-09-08 14:58:59
{'test': 40, 'deepzono': 0.007, 'deepcegar': 0.007}
{'test': 41, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 42, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 43, 'deepzono': 0.0, 'deepcegar': 0.0}
{'test': 44, 'deepzono': 0.012, 'deepcegar': 0.012}
# model:../../TestNets/pldi/mnist_relu_6_80.tf
# start time:2020-09-08 23:20:57
# end time:2020-09-08 23:23:23
{'test': 45, 'deepzono': 0.01, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_6_80.tf
# start time:2020-09-08 21:55:49
# end time:2020-09-08 22:04:57
{'test': 46, 'deepzono': 0.009, 'deepcegar': 0.01}
{'test': 47, 'deepzono': 0.016, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_6_80.tf
# start time:2020-09-08 21:55:49
# end time:2020-09-08 21:58:42
{'test': 48, 'deepzono': 0.02, 'deepcegar': 0.02}
