# model:../../TestNets/pldi/mnist_relu_5_90.tf
# start time:2020-09-09 17:47:24
# end time:2020-09-09 17:56:43
{'test': 0, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 1, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 2, 'deepzono': 0.008, 'deepcegar': 0.009}
# model:../../TestNets/pldi/mnist_relu_5_90.tf
# start time:2020-09-09 17:47:27
# end time:2020-09-09 17:57:52
{'test': 3, 'deepzono': 0.016, 'deepcegar': 0.017}
{'test': 4, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 5, 'deepzono': 0.013, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_5_90.tf
# start time:2020-09-09 12:38:58
# end time:2020-09-09 12:46:37
{'test': 6, 'deepzono': 0.01, 'deepcegar': 0.011}
{'test': 7, 'deepzono': 0.01, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_5_90.tf
# start time:2020-09-09 12:38:58
# end time:2020-09-09 12:45:30
{'test': 8, 'deepzono': 0.005, 'deepcegar': 0.005}
{'test': 9, 'deepzono': 0.012, 'deepcegar': 0.012}
# model:../../TestNets/pldi/mnist_relu_5_90.tf
# start time:2020-09-08 21:56:49
# end time:2020-09-08 22:11:46
{'test': 10, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 11, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 12, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 13, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 14, 'deepzono': 0.014, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_5_90.tf
# start time:2020-09-08 23:52:43
# end time:2020-09-08 23:59:06
{'test': 15, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 16, 'deepzono': 0.009, 'deepcegar': 0.009}
# model:../../TestNets/pldi/mnist_relu_5_90.tf
# start time:2020-09-09 17:47:36
# end time:2020-09-09 17:54:16
{'test': 17, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 18, 'deepzono': 0.016, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_5_90.tf
# start time:2020-09-08 23:52:43
# end time:2020-09-08 23:58:53
{'test': 19, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 20, 'deepzono': 0.006, 'deepcegar': 0.006}
# model:../../TestNets/pldi/mnist_relu_5_90.tf
# start time:2020-09-08 23:52:43
# end time:2020-09-08 23:59:08
{'test': 21, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 22, 'deepzono': 0.022, 'deepcegar': 0.022}
# model:../../TestNets/pldi/mnist_relu_5_90.tf
# start time:2020-09-08 23:52:43
# end time:2020-09-08 23:59:07
{'test': 23, 'deepzono': 0.018, 'deepcegar': 0.018}
{'test': 24, 'deepzono': 0.009, 'deepcegar': 0.009}
# model:../../TestNets/pldi/mnist_relu_5_90.tf
# start time:2020-09-09 18:29:36
# end time:2020-09-09 18:37:51
{'test': 25, 'deepzono': 0.025, 'deepcegar': 0.026}
{'test': 26, 'deepzono': 0.01, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_5_90.tf
# start time:2020-09-08 23:52:43
# end time:2020-09-09 00:02:57
{'test': 27, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 28, 'deepzono': 0.018, 'deepcegar': 0.019}
# model:../../TestNets/pldi/mnist_relu_5_90.tf
# start time:2020-09-09 18:29:40
# end time:2020-09-09 18:36:35
{'test': 29, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 30, 'deepzono': 0.023, 'deepcegar': 0.024}
# model:../../TestNets/pldi/mnist_relu_5_90.tf
