# model:../../TestNets/pldi/mnist_relu_3_60.tf
# start time:2020-09-07 18:22:48
# end time:2020-09-07 18:32:33
{'test': 0, 'deepzono': 0.016, 'deepcegar': 0.017}
{'test': 1, 'deepzono': 0.025, 'deepcegar': 0.025}
# model:../../TestNets/pldi/mnist_relu_3_60.tf
# start time:2020-09-07 19:59:56
# end time:2020-09-07 20:08:59
{'test': 2, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 3, 'deepzono': 0.024, 'deepcegar': 0.024}
# model:../../TestNets/pldi/mnist_relu_3_60.tf
# start time:2020-09-07 19:59:56
# end time:2020-09-07 20:06:08
{'test': 4, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 5, 'deepzono': 0.012, 'deepcegar': 0.012}
# model:../../TestNets/pldi/mnist_relu_3_60.tf
# start time:2020-09-07 18:22:48
# end time:2020-09-07 18:33:35
{'test': 6, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 7, 'deepzono': 0.01, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_3_60.tf
# start time:2020-09-07 20:46:30
# end time:2020-09-07 20:55:45
{'test': 8, 'deepzono': 0.019, 'deepcegar': 0.02}
{'test': 9, 'deepzono': 0.019, 'deepcegar': 0.02}
# model:../../TestNets/pldi/mnist_relu_3_60.tf
# start time:2020-09-07 18:22:48
# end time:2020-09-07 18:28:27
{'test': 10, 'deepzono': 0.022, 'deepcegar': 0.022}
{'test': 11, 'deepzono': 0.003, 'deepcegar': 0.003}
# model:../../TestNets/pldi/mnist_relu_3_60.tf
# start time:2020-09-07 18:22:48
# end time:2020-09-07 18:31:36
{'test': 12, 'deepzono': 0.019, 'deepcegar': 0.019}
{'test': 13, 'deepzono': 0.023, 'deepcegar': 0.024}
# model:../../TestNets/pldi/mnist_relu_3_60.tf
# start time:2020-09-07 20:46:30
# end time:2020-09-07 20:51:16
{'test': 14, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 15, 'deepzono': 0.008, 'deepcegar': 0.008}
# model:../../TestNets/pldi/mnist_relu_3_60.tf
# start time:2020-09-07 18:22:48
# end time:2020-09-07 18:28:21
{'test': 16, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 17, 'deepzono': 0.018, 'deepcegar': 0.018}
# model:../../TestNets/pldi/mnist_relu_3_60.tf
# start time:2020-09-07 19:59:56
# end time:2020-09-07 20:09:13
{'test': 18, 'deepzono': 0.007, 'deepcegar': 0.008}
{'test': 19, 'deepzono': 0.02, 'deepcegar': 0.02}
# model:../../TestNets/pldi/mnist_relu_3_60.tf
# start time:2020-09-06 23:55:44
# end time:2020-09-07 00:53:51
{'test': 20, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 21, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 22, 'deepzono': 0.022, 'deepcegar': 0.023}
{'test': 23, 'deepzono': 0.021, 'deepcegar': 0.021}
{'test': 24, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 25, 'deepzono': 0.038, 'deepcegar': 0.039}
{'test': 26, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 27, 'deepzono': 0.021, 'deepcegar': 0.022}
{'test': 28, 'deepzono': 0.023, 'deepcegar': 0.023}
{'test': 29, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 30, 'deepzono': 0.024, 'deepcegar': 0.025}
{'test': 31, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 32, 'deepzono': 0.029, 'deepcegar': 0.029}
{'test': 33, 'deepzono': 0.008, 'deepcegar': 0.008}
{'test': 34, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 35, 'deepzono': 0.02, 'deepcegar': 0.02}
{'test': 36, 'deepzono': 0.008, 'deepcegar': 0.009}
{'test': 37, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 38, 'deepzono': 0.004, 'deepcegar': 0.004}
{'test': 39, 'deepzono': 0.014, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_3_60.tf
# start time:2020-09-07 18:23:09
# end time:2020-09-07 18:32:32
{'test': 40, 'deepzono': 0.009, 'deepcegar': 0.01}
{'test': 41, 'deepzono': 0.015, 'deepcegar': 0.015}
# model:../../TestNets/pldi/mnist_relu_3_60.tf
# start time:2020-09-07 18:23:09
# end time:2020-09-07 18:29:16
{'test': 42, 'deepzono': 0.02, 'deepcegar': 0.02}
{'test': 43, 'deepzono': 0.012, 'deepcegar': 0.012}
# model:../../TestNets/pldi/mnist_relu_3_60.tf
# start time:2020-09-07 18:23:09
# end time:2020-09-07 18:31:37
