# model:../../TestNets/pldi/mnist_relu_4_50.tf
# start time:2020-09-07 17:53:49
# end time:2020-09-07 18:02:01
{'test': 0, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 1, 'deepzono': 0.016, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_4_50.tf
# start time:2020-09-07 17:53:49
# end time:2020-09-07 18:01:45
{'test': 2, 'deepzono': 0.008, 'deepcegar': 0.008}
{'test': 3, 'deepzono': 0.021, 'deepcegar': 0.022}
# model:../../TestNets/pldi/mnist_relu_4_50.tf
# start time:2020-09-07 19:59:56
# end time:2020-09-07 20:08:40
{'test': 4, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 5, 'deepzono': 0.012, 'deepcegar': 0.012}
# model:../../TestNets/pldi/mnist_relu_4_50.tf
# start time:2020-09-07 17:53:49
# end time:2020-09-07 18:00:49
{'test': 6, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 7, 'deepzono': 0.005, 'deepcegar': 0.005}
# model:../../TestNets/pldi/mnist_relu_4_50.tf
# start time:2020-09-07 17:53:49
# end time:2020-09-07 18:04:17
{'test': 8, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 9, 'deepzono': 0.015, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_4_50.tf
# start time:2020-09-07 17:53:49
# end time:2020-09-07 17:58:58
{'test': 10, 'deepzono': 0.022, 'deepcegar': 0.022}
{'test': 11, 'deepzono': 0.017, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_4_50.tf
# start time:2020-09-07 19:59:56
# end time:2020-09-07 20:08:57
{'test': 12, 'deepzono': 0.014, 'deepcegar': 0.015}
{'test': 13, 'deepzono': 0.022, 'deepcegar': 0.022}
# model:../../TestNets/pldi/mnist_relu_4_50.tf
# start time:2020-09-07 17:53:49
# end time:2020-09-07 18:01:16
{'test': 14, 'deepzono': 0.015, 'deepcegar': 0.016}
{'test': 15, 'deepzono': 0.01, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_4_50.tf
# start time:2020-09-07 17:53:49
# end time:2020-09-07 17:58:58
{'test': 16, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 17, 'deepzono': 0.01, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_4_50.tf
# start time:2020-09-07 19:59:56
# end time:2020-09-07 20:08:31
{'test': 18, 'deepzono': 0.006, 'deepcegar': 0.006}
{'test': 19, 'deepzono': 0.017, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_4_50.tf
# start time:2020-09-04 12:48:04
# end time:2020-09-04 15:06:11
{'test': 20, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 21, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 22, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 23, 'deepzono': 0.021, 'deepcegar': 0.021}
{'test': 24, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 25, 'deepzono': 0.022, 'deepcegar': 0.022}
{'test': 26, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 27, 'deepzono': 0.017, 'deepcegar': 0.018}
{'test': 28, 'deepzono': 0.021, 'deepcegar': 0.021}
{'test': 29, 'deepzono': 0.014, 'deepcegar': 0.015}
{'test': 30, 'deepzono': 0.025, 'deepcegar': 0.026}
{'test': 31, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 32, 'deepzono': 0.023, 'deepcegar': 0.023}
{'test': 33, 'deepzono': 0.0, 'deepcegar': 0.0}
{'test': 34, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 35, 'deepzono': 0.02, 'deepcegar': 0.021}
{'test': 36, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 37, 'deepzono': 0.014, 'deepcegar': 0.015}
{'test': 38, 'deepzono': 0.006, 'deepcegar': 0.007}
{'test': 39, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_4_50.tf
# start time:2020-09-07 21:04:05
# end time:2020-09-07 21:12:18
{'test': 40, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 41, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 42, 'deepzono': 0.016, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_4_50.tf
# start time:2020-09-07 21:55:26
# end time:2020-09-07 22:05:44
{'test': 43, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 44, 'deepzono': 0.014, 'deepcegar': 0.015}
{'test': 45, 'deepzono': 0.015, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_4_50.tf
# start time:2020-09-07 21:55:26
# end time:2020-09-07 22:10:21
{'test': 46, 'deepzono': 0.015, 'deepcegar': 0.016}
{'test': 47, 'deepzono': 0.016, 'deepcegar': 0.017}
{'test': 48, 'deepzono': 0.018, 'deepcegar': 0.019}
# model:../../TestNets/pldi/mnist_relu_4_50.tf
# start time:2020-09-07 21:55:26
# end time:2020-09-07 22:10:58
{'test': 49, 'deepzono': 0.016, 'deepcegar': 0.017}
{'test': 50, 'deepzono': 0.014, 'deepcegar': 0.015}
{'test': 51, 'deepzono': 0.023, 'deepcegar': 0.024}
# model:../../TestNets/pldi/mnist_relu_4_50.tf
# start time:2020-09-07 21:55:26
# end time:2020-09-07 22:05:37
{'test': 52, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 53, 'deepzono': 0.014, 'deepcegar': 0.014}
