# model:../../TestNets/pldi/mnist_relu_4_60.tf
# start time:2020-09-03 10:20:07
# end time:2020-09-03 12:14:36
{'test': 0, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 1, 'deepzono': 0.02, 'deepcegar': 0.021}
{'test': 2, 'deepzono': 0.01, 'deepcegar': 0.011}
{'test': 3, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 4, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 5, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 6, 'deepzono': 0.009, 'deepcegar': 0.01}
{'test': 7, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 8, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 9, 'deepzono': 0.019, 'deepcegar': 0.02}
{'test': 10, 'deepzono': 0.021, 'deepcegar': 0.022}
{'test': 11, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 12, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 13, 'deepzono': 0.023, 'deepcegar': 0.024}
{'test': 14, 'deepzono': 0.016, 'deepcegar': 0.017}
{'test': 15, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 16, 'deepzono': 0.014, 'deepcegar': 0.015}
{'test': 17, 'deepzono': 0.016, 'deepcegar': 0.017}
{'test': 18, 'deepzono': 0.0, 'deepcegar': 0.0}
{'test': 19, 'deepzono': 0.012, 'deepcegar': 0.012}
# model:../../TestNets/pldi/mnist_relu_4_60.tf
# start time:2020-09-08 08:05:06
# end time:2020-09-08 08:10:01
{'test': 20, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 21, 'deepzono': 0.01, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_4_60.tf
# start time:2020-09-08 08:05:06
# end time:2020-09-08 08:07:31
{'test': 22, 'deepzono': 0.015, 'deepcegar': 0.015}
# model:../../TestNets/pldi/mnist_relu_4_60.tf
# start time:2020-09-07 23:26:36
# end time:2020-09-07 23:40:45
{'test': 23, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 24, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 25, 'deepzono': 0.02, 'deepcegar': 0.02}
# model:../../TestNets/pldi/mnist_relu_4_60.tf
# start time:2020-09-07 23:26:36
# end time:2020-09-07 23:44:52
{'test': 26, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 27, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 28, 'deepzono': 0.02, 'deepcegar': 0.022}
# model:../../TestNets/pldi/mnist_relu_4_60.tf
# start time:2020-09-08 07:40:06
# end time:2020-09-08 07:47:59
{'test': 29, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 30, 'deepzono': 0.02, 'deepcegar': 0.021}
# model:../../TestNets/pldi/mnist_relu_4_60.tf
# start time:2020-09-08 08:15:53
# end time:2020-09-08 08:24:30
{'test': 31, 'deepzono': 0.008, 'deepcegar': 0.009}
{'test': 32, 'deepzono': 0.023, 'deepcegar': 0.024}
# model:../../TestNets/pldi/mnist_relu_4_60.tf
# start time:2020-09-08 08:15:53
# end time:2020-09-08 08:56:53
{'test': 33, 'deepzono': 0.014, 'deepcegar': 0.016}
{'test': 34, 'deepzono': 0.02, 'deepcegar': 0.021}
# model:../../TestNets/pldi/mnist_relu_4_60.tf
# start time:2020-09-08 07:40:06
# end time:2020-09-08 07:47:09
{'test': 35, 'deepzono': 0.019, 'deepcegar': 0.02}
{'test': 36, 'deepzono': 0.019, 'deepcegar': 0.019}
# model:../../TestNets/pldi/mnist_relu_4_60.tf
# start time:2020-09-08 07:40:06
# end time:2020-09-08 07:44:56
{'test': 37, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 38, 'deepzono': 0.001, 'deepcegar': 0.001}
# model:../../TestNets/pldi/mnist_relu_4_60.tf
# start time:2020-09-08 07:40:06
# end time:2020-09-08 07:45:00
{'test': 39, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 40, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_4_60.tf
# start time:2020-09-07 23:26:36
# end time:2020-09-07 23:53:02
{'test': 41, 'deepzono': 0.015, 'deepcegar': 0.016}
{'test': 42, 'deepzono': 0.01, 'deepcegar': 0.011}
{'test': 43, 'deepzono': 0.01, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_4_60.tf
# start time:2020-09-07 23:26:36
