# model:../../TestNets/pldi/mnist_relu_5_150.tf
# start time:2020-09-10 10:26:40
# end time:2020-09-10 10:33:20
{'test': 0, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 1, 'deepzono': 0.018, 'deepcegar': 0.018}
# model:../../TestNets/pldi/mnist_relu_5_150.tf
# start time:2020-09-10 10:26:40
# end time:2020-09-10 10:37:15
{'test': 2, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 3, 'deepzono': 0.019, 'deepcegar': 0.02}
# model:../../TestNets/pldi/mnist_relu_5_150.tf
# start time:2020-09-10 10:26:40
# end time:2020-09-10 10:33:28
{'test': 4, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 5, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_5_150.tf
# start time:2020-09-10 10:26:40
# end time:2020-09-10 10:33:20
{'test': 6, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 7, 'deepzono': 0.013, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_5_150.tf
# start time:2020-09-10 10:26:40
# end time:2020-09-10 10:33:22
{'test': 8, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 9, 'deepzono': 0.017, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_5_150.tf
# start time:2020-09-10 10:26:40
# end time:2020-09-10 10:33:27
{'test': 10, 'deepzono': 0.021, 'deepcegar': 0.021}
{'test': 11, 'deepzono': 0.025, 'deepcegar': 0.025}
# model:../../TestNets/pldi/mnist_relu_5_150.tf
# start time:2020-09-10 10:26:40
# end time:2020-09-10 10:33:23
{'test': 12, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 13, 'deepzono': 0.017, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_5_150.tf
# start time:2020-09-10 10:55:44
# end time:2020-09-10 11:00:51
{'test': 14, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 15, 'deepzono': 0.017, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_5_150.tf
# start time:2020-09-10 10:55:46
# end time:2020-09-10 11:00:52
{'test': 16, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 17, 'deepzono': 0.019, 'deepcegar': 0.019}
# model:../../TestNets/pldi/mnist_relu_5_150.tf
# start time:2020-09-10 10:26:40
# end time:2020-09-10 10:33:25
{'test': 18, 'deepzono': 0.003, 'deepcegar': 0.003}
{'test': 19, 'deepzono': 0.016, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_5_150.tf
# start time:2020-09-10 16:20:01
# end time:2020-09-10 16:30:29
{'test': 20, 'deepzono': 0.007, 'deepcegar': 0.007}
{'test': 21, 'deepzono': 0.017, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_5_150.tf
# start time:2020-09-10 16:20:01
# end time:2020-09-10 16:29:48
{'test': 22, 'deepzono': 0.024, 'deepcegar': 0.024}
{'test': 23, 'deepzono': 0.019, 'deepcegar': 0.019}
# model:../../TestNets/pldi/mnist_relu_5_150.tf
# start time:2020-09-10 16:20:01
# end time:2020-09-10 16:34:05
{'test': 24, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 25, 'deepzono': 0.025, 'deepcegar': 0.026}
# model:../../TestNets/pldi/mnist_relu_5_150.tf
# start time:2020-09-10 17:06:30
# end time:2020-09-10 17:13:21
{'test': 26, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 27, 'deepzono': 0.02, 'deepcegar': 0.02}
# model:../../TestNets/pldi/mnist_relu_5_150.tf
# start time:2020-09-10 16:20:01
# end time:2020-09-10 16:30:29
{'test': 28, 'deepzono': 0.026, 'deepcegar': 0.026}
{'test': 29, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_5_150.tf
# start time:2020-09-10 22:32:15
# end time:2020-09-10 22:38:23
{'test': 30, 'deepzono': 0.018, 'deepcegar': 0.018}
{'test': 31, 'deepzono': 0.009, 'deepcegar': 0.009}
# model:../../TestNets/pldi/mnist_relu_5_150.tf
# start time:2020-09-10 16:20:01
# end time:2020-09-10 16:30:09
{'test': 32, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 33, 'deepzono': 0.013, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_5_150.tf
# start time:2020-09-10 22:32:23
# end time:2020-09-10 22:44:15
{'test': 34, 'deepzono': 0.016, 'deepcegar': 0.017}
{'test': 35, 'deepzono': 0.018, 'deepcegar': 0.019}
# model:../../TestNets/pldi/mnist_relu_5_150.tf
# start time:2020-09-10 16:20:01
# end time:2020-09-10 16:30:30
{'test': 36, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 37, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_5_150.tf
