# model:../../TestNets/pldi/mnist_relu_6_60.tf
# start time:2020-09-03 15:55:17
# end time:2020-09-03 17:45:06
{'test': 0, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 1, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 2, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 3, 'deepzono': 0.021, 'deepcegar': 0.021}
{'test': 4, 'deepzono': 0.005, 'deepcegar': 0.005}
{'test': 5, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 6, 'deepzono': 0.008, 'deepcegar': 0.009}
{'test': 7, 'deepzono': 0.011, 'deepcegar': 0.012}
{'test': 8, 'deepzono': 0.007, 'deepcegar': 0.008}
{'test': 9, 'deepzono': 0.015, 'deepcegar': 0.016}
{'test': 10, 'deepzono': 0.02, 'deepcegar': 0.02}
{'test': 11, 'deepzono': 0.011, 'deepcegar': 0.012}
{'test': 12, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 13, 'deepzono': 0.018, 'deepcegar': 0.019}
{'test': 14, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 15, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 16, 'deepzono': 0.017, 'deepcegar': 0.018}
{'test': 17, 'deepzono': 0.008, 'deepcegar': 0.009}
{'test': 18, 'deepzono': 0.009, 'deepcegar': 0.01}
{'test': 19, 'deepzono': 0.013, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_6_60.tf
# start time:2020-09-07 23:28:40
# end time:2020-09-07 23:45:34
{'test': 20, 'deepzono': 0.01, 'deepcegar': 0.011}
{'test': 21, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 22, 'deepzono': 0.01, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_6_60.tf
# start time:2020-09-07 23:28:40
# end time:2020-09-07 23:43:28
{'test': 23, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 24, 'deepzono': 0.002, 'deepcegar': 0.002}
{'test': 25, 'deepzono': 0.021, 'deepcegar': 0.021}
# model:../../TestNets/pldi/mnist_relu_6_60.tf
# start time:2020-09-07 23:28:40
# end time:2020-09-07 23:43:45
{'test': 26, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 27, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 28, 'deepzono': 0.016, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_6_60.tf
# start time:2020-09-08 07:46:28
# end time:2020-09-08 07:51:37
{'test': 29, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 30, 'deepzono': 0.021, 'deepcegar': 0.021}
# model:../../TestNets/pldi/mnist_relu_6_60.tf
# start time:2020-09-08 07:46:28
# end time:2020-09-08 07:49:08
{'test': 31, 'deepzono': 0.007, 'deepcegar': 0.007}
# model:../../TestNets/pldi/mnist_relu_6_60.tf
# start time:2020-09-07 23:28:40
# end time:2020-09-07 23:43:28
{'test': 32, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 33, 'deepzono': 0.008, 'deepcegar': 0.008}
{'test': 34, 'deepzono': 0.018, 'deepcegar': 0.018}
# model:../../TestNets/pldi/mnist_relu_6_60.tf
# start time:2020-09-07 23:28:40
# end time:2020-09-07 23:43:46
{'test': 35, 'deepzono': 0.015, 'deepcegar': 0.015}
