# model:../../TestNets/pldi/mnist_relu_6_40.tf
# start time:2020-09-03 15:55:11
# end time:2020-09-03 17:31:16
{'test': 0, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 1, 'deepzono': 0.016, 'deepcegar': 0.017}
{'test': 2, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 3, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 4, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 5, 'deepzono': 0.011, 'deepcegar': 0.012}
{'test': 6, 'deepzono': 0.015, 'deepcegar': 0.016}
{'test': 7, 'deepzono': 0.008, 'deepcegar': 0.008}
{'test': 8, 'deepzono': 0.005, 'deepcegar': 0.005}
{'test': 9, 'deepzono': 0.014, 'deepcegar': 0.015}
{'test': 10, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 11, 'deepzono': 0.006, 'deepcegar': 0.006}
{'test': 12, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 13, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 14, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 15, 'deepzono': 0.009, 'deepcegar': 0.01}
{'test': 16, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 17, 'deepzono': 0.017, 'deepcegar': 0.018}
{'test': 18, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 19, 'deepzono': 0.013, 'deepcegar': 0.014}
# model:../../TestNets/pldi/mnist_relu_6_40.tf
# start time:2020-09-07 13:42:33
# end time:2020-09-07 13:48:45
{'test': 20, 'deepzono': 0.006, 'deepcegar': 0.007}
{'test': 21, 'deepzono': 0.012, 'deepcegar': 0.012}
# model:../../TestNets/pldi/mnist_relu_6_40.tf
# start time:2020-09-07 13:42:33
# end time:2020-09-07 13:47:32
{'test': 22, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 23, 'deepzono': 0.017, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_6_40.tf
# start time:2020-09-07 13:42:33
# end time:2020-09-07 13:45:08
{'test': 24, 'deepzono': 0.009, 'deepcegar': 0.009}
# model:../../TestNets/pldi/mnist_relu_6_40.tf
# start time:2020-09-07 08:59:57
# end time:2020-09-07 09:19:37
{'test': 25, 'deepzono': 0.021, 'deepcegar': 0.021}
{'test': 26, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 27, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 28, 'deepzono': 0.016, 'deepcegar': 0.017}
{'test': 29, 'deepzono': 0.011, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_6_40.tf
# start time:2020-09-07 08:59:57
# end time:2020-09-07 13:02:53
{'test': 30, 'deepzono': 0.02, 'deepcegar': 0.02}
{'test': 31, 'deepzono': 0.008, 'deepcegar': 0.009}
{'test': 32, 'deepzono': 0.02, 'deepcegar': 0.02}
{'test': 33, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 34, 'deepzono': 0.014, 'deepcegar': 0.015}
# model:../../TestNets/pldi/mnist_relu_6_40.tf
# start time:2020-09-07 08:59:57
# end time:2020-09-07 09:24:32
{'test': 35, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 36, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 37, 'deepzono': 0.01, 'deepcegar': 0.011}
{'test': 38, 'deepzono': 0.008, 'deepcegar': 0.009}
{'test': 39, 'deepzono': 0.011, 'deepcegar': 0.012}
# model:../../TestNets/pldi/mnist_relu_6_40.tf
# start time:2020-09-04 15:54:01
# end time:2020-09-04 18:16:43
{'test': 40, 'deepzono': 0.008, 'deepcegar': 0.008}
{'test': 41, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 42, 'deepzono': 0.014, 'deepcegar': 0.015}
{'test': 43, 'deepzono': 0.008, 'deepcegar': 0.009}
{'test': 44, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 45, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 46, 'deepzono': 0.01, 'deepcegar': 0.011}
{'test': 47, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 48, 'deepzono': 0.021, 'deepcegar': 0.022}
{'test': 49, 'deepzono': 0.017, 'deepcegar': 0.018}
{'test': 50, 'deepzono': 0.01, 'deepcegar': 0.011}
{'test': 51, 'deepzono': 0.016, 'deepcegar': 0.017}
{'test': 52, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 53, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 54, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 55, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 56, 'deepzono': 0.021, 'deepcegar': 0.021}
{'test': 57, 'deepzono': 0.01, 'deepcegar': 0.011}
{'test': 58, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 59, 'deepzono': 0.01, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_6_40.tf
# start time:2020-09-07 08:59:57
# end time:2020-09-07 09:18:33
{'test': 60, 'deepzono': 0.022, 'deepcegar': 0.022}
{'test': 61, 'deepzono': 0.007, 'deepcegar': 0.007}
{'test': 62, 'deepzono': 0.003, 'deepcegar': 0.004}
{'test': 63, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 64, 'deepzono': 0.018, 'deepcegar': 0.018}
# model:../../TestNets/pldi/mnist_relu_6_40.tf
# start time:2020-09-07 08:59:57
# end time:2020-09-07 13:03:38
{'test': 65, 'deepzono': 0.006, 'deepcegar': 0.006}
{'test': 66, 'deepzono': 0.0, 'deepcegar': 0.0}
{'test': 67, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 68, 'deepzono': 0.025, 'deepcegar': 0.026}
{'test': 69, 'deepzono': 0.016, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_6_40.tf
# start time:2020-09-07 08:59:57
# end time:2020-09-07 13:02:53
{'test': 70, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 71, 'deepzono': 0.025, 'deepcegar': 0.025}
{'test': 72, 'deepzono': 0.014, 'deepcegar': 0.015}
{'test': 73, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 74, 'deepzono': 0.009, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_6_40.tf
# start time:2020-09-07 08:59:57
# end time:2020-09-07 09:17:13
{'test': 75, 'deepzono': 0.018, 'deepcegar': 0.018}
{'test': 76, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 77, 'deepzono': 0.01, 'deepcegar': 0.011}
{'test': 78, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 79, 'deepzono': 0.02, 'deepcegar': 0.02}
# model:../../TestNets/pldi/mnist_relu_6_40.tf
# start time:2020-09-05 10:19:15
# end time:2020-09-05 12:25:11
{'test': 80, 'deepzono': 0.008, 'deepcegar': 0.008}
{'test': 81, 'deepzono': 0.011, 'deepcegar': 0.012}
{'test': 82, 'deepzono': 0.027, 'deepcegar': 0.028}
{'test': 83, 'deepzono': 0.015, 'deepcegar': 0.016}
{'test': 84, 'deepzono': 0.011, 'deepcegar': 0.012}
{'test': 85, 'deepzono': 0.023, 'deepcegar': 0.024}
{'test': 86, 'deepzono': 0.015, 'deepcegar': 0.017}
{'test': 87, 'deepzono': 0.018, 'deepcegar': 0.019}
{'test': 88, 'deepzono': 0.022, 'deepcegar': 0.022}
{'test': 89, 'deepzono': 0.012, 'deepcegar': 0.013}
