# model:../../TestNets/pldi/mnist_relu_6_150.tf
# start time:2020-09-03 15:55:36
# end time:2020-09-03 18:50:05
{'test': 0, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 1, 'deepzono': 0.025, 'deepcegar': 0.025}
{'test': 2, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 3, 'deepzono': 0.022, 'deepcegar': 0.022}
{'test': 4, 'deepzono': 0.016, 'deepcegar': 0.017}
{'test': 5, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 6, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 7, 'deepzono': 0.008, 'deepcegar': 0.008}
{'test': 8, 'deepzono': 0.006, 'deepcegar': 0.006}
{'test': 9, 'deepzono': 0.011, 'deepcegar': 0.012}
{'test': 10, 'deepzono': 0.028, 'deepcegar': 0.028}
{'test': 11, 'deepzono': 0.016, 'deepcegar': 0.016}
{'test': 12, 'deepzono': 0.008, 'deepcegar': 0.008}
{'test': 13, 'deepzono': 0.023, 'deepcegar': 0.024}
{'test': 14, 'deepzono': 0.017, 'deepcegar': 0.018}
{'test': 15, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 16, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 17, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 18, 'deepzono': 0.0, 'deepcegar': 0.0}
{'test': 19, 'deepzono': 0.016, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_6_150.tf
# start time:2020-09-10 16:38:56
# end time:2020-09-10 16:49:39
{'test': 20, 'deepzono': 0.004, 'deepcegar': 0.004}
{'test': 21, 'deepzono': 0.015, 'deepcegar': 0.015}
# model:../../TestNets/pldi/mnist_relu_6_150.tf
# start time:2020-09-10 16:38:56
# end time:2020-09-10 16:49:38
{'test': 22, 'deepzono': 0.015, 'deepcegar': 0.015}
{'test': 23, 'deepzono': 0.021, 'deepcegar': 0.021}
# model:../../TestNets/pldi/mnist_relu_6_150.tf
# start time:2020-09-10 21:03:11
# end time:2020-09-10 21:08:46
{'test': 24, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 25, 'deepzono': 0.037, 'deepcegar': 0.037}
# model:../../TestNets/pldi/mnist_relu_6_150.tf
# start time:2020-09-10 23:34:08
# end time:2020-09-10 23:41:10
{'test': 26, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 27, 'deepzono': 0.017, 'deepcegar': 0.018}
# model:../../TestNets/pldi/mnist_relu_6_150.tf
# start time:2020-09-10 16:38:56
# end time:2020-09-10 16:49:01
{'test': 28, 'deepzono': 0.029, 'deepcegar': 0.029}
{'test': 29, 'deepzono': 0.013, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_6_150.tf
# start time:2020-09-10 21:04:02
# end time:2020-09-10 21:09:53
{'test': 30, 'deepzono': 0.02, 'deepcegar': 0.02}
{'test': 31, 'deepzono': 0.01, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_6_150.tf
# start time:2020-09-10 17:25:55
# end time:2020-09-10 17:32:24
{'test': 32, 'deepzono': 0.018, 'deepcegar': 0.018}
{'test': 33, 'deepzono': 0.01, 'deepcegar': 0.01}
# model:../../TestNets/pldi/mnist_relu_6_150.tf
# start time:2020-09-10 16:38:56
# end time:2020-09-10 16:48:39
{'test': 34, 'deepzono': 0.018, 'deepcegar': 0.018}
{'test': 35, 'deepzono': 0.024, 'deepcegar': 0.024}
# model:../../TestNets/pldi/mnist_relu_6_150.tf
# start time:2020-09-10 17:25:55
# end time:2020-09-10 17:32:45
{'test': 36, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 37, 'deepzono': 0.013, 'deepcegar': 0.013}
# model:../../TestNets/pldi/mnist_relu_6_150.tf
# start time:2020-09-10 16:38:56
# end time:2020-09-10 16:53:08
{'test': 38, 'deepzono': 0.009, 'deepcegar': 0.009}
{'test': 39, 'deepzono': 0.015, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_6_150.tf
# start time:2020-09-11 09:15:28
# end time:2020-09-11 09:30:03
{'test': 40, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 41, 'deepzono': 0.01, 'deepcegar': 0.011}
# model:../../TestNets/pldi/mnist_relu_6_150.tf
# start time:2020-09-11 09:15:28
# end time:2020-09-11 09:26:26
{'test': 42, 'deepzono': 0.018, 'deepcegar': 0.018}
{'test': 43, 'deepzono': 0.001, 'deepcegar': 0.001}
# model:../../TestNets/pldi/mnist_relu_6_150.tf
# start time:2020-09-11 09:15:28
# end time:2020-09-11 09:26:32
{'test': 44, 'deepzono': 0.01, 'deepcegar': 0.01}
{'test': 45, 'deepzono': 0.012, 'deepcegar': 0.012}
# model:../../TestNets/pldi/mnist_relu_6_150.tf
# start time:2020-09-11 09:15:28
# end time:2020-09-11 09:26:33
{'test': 46, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 47, 'deepzono': 0.02, 'deepcegar': 0.02}
# model:../../TestNets/pldi/mnist_relu_6_150.tf
# start time:2020-09-11 19:09:41
# end time:2020-09-11 19:16:43
{'test': 48, 'deepzono': 0.018, 'deepcegar': 0.019}
{'test': 49, 'deepzono': 0.019, 'deepcegar': 0.019}
# model:../../TestNets/pldi/mnist_relu_6_150.tf
# start time:2020-09-11 10:40:38
# end time:2020-09-11 10:48:33
{'test': 50, 'deepzono': 0.018, 'deepcegar': 0.018}
{'test': 51, 'deepzono': 0.017, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_6_150.tf
# start time:2020-09-11 10:40:38
