# model:../../TestNets/pldi/mnist_relu_4_200.tf
# start time:2020-09-10 09:56:15
# end time:2020-09-10 10:03:11
{'test': 0, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 1, 'deepzono': 0.022, 'deepcegar': 0.022}
# model:../../TestNets/pldi/mnist_relu_4_200.tf
# start time:2020-09-10 10:39:34
# end time:2020-09-10 10:48:26
{'test': 2, 'deepzono': 0.012, 'deepcegar': 0.013}
{'test': 3, 'deepzono': 0.016, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_4_200.tf
# start time:2020-09-10 09:56:15
# end time:2020-09-10 10:03:26
{'test': 4, 'deepzono': 0.011, 'deepcegar': 0.011}
{'test': 5, 'deepzono': 0.016, 'deepcegar': 0.016}
# model:../../TestNets/pldi/mnist_relu_4_200.tf
# start time:2020-09-10 09:56:15
# end time:2020-09-10 10:03:23
{'test': 6, 'deepzono': 0.017, 'deepcegar': 0.017}
{'test': 7, 'deepzono': 0.009, 'deepcegar': 0.009}
# model:../../TestNets/pldi/mnist_relu_4_200.tf
# start time:2020-09-10 11:21:15
# end time:2020-09-10 11:26:16
{'test': 8, 'deepzono': 0.014, 'deepcegar': 0.014}
{'test': 9, 'deepzono': 0.008, 'deepcegar': 0.008}
# model:../../TestNets/pldi/mnist_relu_4_200.tf
# start time:2020-09-10 10:39:08
# end time:2020-09-10 10:44:25
{'test': 10, 'deepzono': 0.018, 'deepcegar': 0.018}
{'test': 11, 'deepzono': 0.015, 'deepcegar': 0.015}
# model:../../TestNets/pldi/mnist_relu_4_200.tf
# start time:2020-09-10 09:56:15
# end time:2020-09-10 10:10:01
{'test': 12, 'deepzono': 0.012, 'deepcegar': 0.012}
{'test': 13, 'deepzono': 0.02, 'deepcegar': 0.02}
# model:../../TestNets/pldi/mnist_relu_4_200.tf
# start time:2020-09-10 11:07:46
# end time:2020-09-10 11:14:11
{'test': 14, 'deepzono': 0.013, 'deepcegar': 0.013}
{'test': 15, 'deepzono': 0.017, 'deepcegar': 0.017}
# model:../../TestNets/pldi/mnist_relu_4_200.tf
# start time:2020-09-10 09:56:15
# end time:2020-09-10 10:06:06
{'test': 16, 'deepzono': 0.013, 'deepcegar': 0.014}
{'test': 17, 'deepzono': 0.018, 'deepcegar': 0.018}
# model:../../TestNets/pldi/mnist_relu_4_200.tf
